SN,Symbol,LTP,%Change,Open,High,Low,Volume,P.Close,Difference
76,HDHPC,130.90,1.08,132.00,132.00,128.00,58107.00,129.50,1.40
77,HDL,1304.90,0.30,1301.00,1320.00,1264.20,56906.00,1301.00,3.90
78,HEI,575.00,-0.86,575.30,575.30,568.50,11110.00,580.00,-5.00
79,HEIP,345.00,-0.58,351.00,351.00,345.00,513.00,347.00,-2.00
80,HHL,334.00,-1.45,342.70,350.00,334.00,7992.00,338.90,-4.90
81,HIDCL,161.00,0.94,162.50,162.50,160.00,39700.00,159.50,1.50
82,HIDCLP,99.00,0.00,98.50,99.00,98.00,18943.00,99.00,0.00
83,HLBSL,845.00,-3.44,870.00,886.00,825.00,26860.00,875.10,-30.10
84,HLI,380.00,0.05,376.00,385.00,376.00,43620.00,379.80,0.20
85,HPPL,250.00,1.96,245.00,254.00,245.00,6400.00,245.20,4.80
86,HRL,560.00,-0.36,564.20,569.00,553.00,91251.00,562.00,-2.00
87,HURJA,276.00,0.36,275.10,286.00,275.00,8123.00,275.00,1.00
88,ICFC,521.00,-0.57,530.90,532.00,519.00,34012.00,524.00,-3.00
89,ICFCD83,1205.00,0.00,1212.00,1212.00,1205.00,212.00,1205.00,0.00
90,IGI,530.00,0.76,530.00,531.00,525.10,10608.00,526.00,4.00
91,IHL,381.50,0.93,370.50,393.10,370.50,12103.00,378.00,3.50
92,ILBS,1372.00,-2.55,1407.00,1425.00,1350.00,21966.00,1407.90,-35.90
93,ILI,536.00,-0.06,535.00,541.50,535.00,36177.00,536.30,-0.30
94,JALPA,1330.00,0.00,1321.00,1374.00,1320.00,4979.00,1330.00,0.00
95,JBBL,292.00,1.74,285.10,292.00,285.10,48945.00,287.00,5.00
96,JBLB,1317.00,-0.60,1304.00,1325.00,1303.40,5136.00,1325.00,-8.00
97,JFL,516.00,-0.41,526.90,539.90,515.00,76205.00,518.10,-2.10
98,JOSHI,315.00,-0.63,313.00,323.10,313.00,50743.00,317.00,-2.00
99,JSLBB,1223.10,-1.37,1264.90,1285.00,1223.10,4688.00,1240.10,-17.00
100,KBL,132.00,1.23,133.00,133.00,129.60,63506.00,130.40,1.60
101,KBLD86,1060.30,1.99,1055.00,1060.30,1055.00,55.00,1039.60,20.70
102,KBSH,1020.00,0.10,1019.00,1020.00,1003.50,160.00,1019.00,1.00
103,KDBY,8.60,-0.81,8.50,8.89,8.50,9300.00,8.67,-0.07
104,KDL,809.00,5.06,785.00,826.00,780.00,22001.00,770.00,39.00
105,KEF,8.00,1.14,7.85,8.00,7.85,2400.00,7.91,0.09
106,KKHC,217.00,0.00,218.20,224.00,217.00,9130.00,217.00,0.00
107,KLBSL,908.90,0.54,900.00,908.90,873.30,6017.00,904.00,4.90
108,KMCDB,921.00,-2.54,931.00,944.00,900.10,22630.00,945.00,-24.00
109,KPCL,387.30,-2.42,389.10,395.00,383.20,3314.00,396.90,-9.60
110,KRBL,434.00,1.78,433.00,444.00,424.40,49814.00,426.40,7.60
111,KSBBL,370.00,-0.27,374.00,375.80,368.00,65481.00,371.00,-1.00
112,KSBBLD87,989.00,0.23,986.20,989.00,986.10,60.00,986.70,2.30
113,KSY,7.99,-8.48,8.56,8.56,7.95,13315.00,8.73,-0.74
114,LBBL,375.00,0.81,372.00,379.00,370.00,13861.00,372.00,3.00
115,LBBLD89,1111.90,2.00,1111.90,1111.90,1111.90,50.00,1090.10,21.80
116,LBLD88,984.00,-0.51,984.00,984.00,984.00,25.00,989.00,-5.00
117,LEC,178.00,0.17,177.00,179.90,176.50,23004.00,177.70,0.30
118,LEMF,9.36,-0.32,9.40,9.40,9.35,16767.00,9.39,-0.03
119,LICN,1250.00,-0.79,1275.00,1284.00,1250.00,3045.00,1260.00,-10.00
120,LLBS,1080.00,0.01,1101.00,1101.00,1036.90,12098.00,1079.90,0.10
121,LSL,146.20,0.90,145.00,146.20,143.60,39228.00,144.90,1.30
122,LUK,8.50,1.55,8.35,8.50,8.34,24200.00,8.37,0.13
123,LVF2,7.82,1.56,7.61,7.82,7.61,1000.00,7.70,0.12
124,MAKAR,355.00,2.60,342.00,355.00,342.00,14562.00,346.00,9.00
125,MANDU,810.00,3.85,790.00,810.00,765.10,14410.00,780.00,30.00
126,MBJC,289.90,0.66,283.00,299.50,283.00,9469.00,288.00,1.90
127,MBL,162.00,1.57,158.00,163.90,157.80,25124.00,159.50,2.50
128,MCHL,359.00,-0.17,356.00,367.10,356.00,8740.00,359.60,-0.60
129,MDB,451.00,-0.55,459.90,460.00,449.00,25333.00,453.50,-2.50
130,MEHL,303.00,1.00,294.00,308.00,294.00,28585.00,300.00,3.00
131,MEL,230.00,-0.43,226.40,231.50,224.20,41941.00,231.00,-1.00
132,MEN,520.00,-0.76,522.00,526.00,515.00,36188.00,524.00,-4.00
