SN,Symbol,LTP,%Change,Open,High,Low,Volume,P.Close,Difference
1,ACLBSL,945.00,5.00,882.10,955.00,866.00,37972.00,900.00,45.00
2,ADBL,241.10,-1.19,248.80,248.80,239.00,24081.00,244.00,-2.90
3,ADBLD83,1080.00,-1.68,1080.00,1080.00,1080.00,80.00,1098.50,-18.50
4,AHL,429.20,-3.12,449.00,451.00,428.00,16194.00,443.00,-13.80
5,AHPC,162.00,-1.82,168.30,168.30,161.70,16093.00,165.00,-3.00
6,AKJCL,203.10,-1.88,205.00,208.90,203.00,16277.00,207.00,-3.90
7,AKPL,165.10,-1.20,165.70,168.30,164.10,31149.00,167.10,-2.00
8,ALBSL,900.00,2.27,879.90,928.20,865.00,34035.00,880.00,20.00
9,ALICL,571.80,-0.64,564.00,575.00,564.00,14300.00,575.50,-3.70
10,ALICLP,312.00,1.30,312.00,312.00,312.00,75426.00,308.00,4.00
11,ANLB,2188.00,3.21,2144.00,2229.00,2110.00,4308.00,2120.00,68.00
12,API,170.20,-1.39,175.00,175.00,170.20,57581.00,172.60,-2.40
13,AVYAN,918.90,8.49,858.90,931.70,850.00,50673.00,847.00,71.90
14,BARUN,235.00,1.34,228.10,235.00,226.10,23565.00,231.90,3.10
15,BBC,3700.00,-0.78,3701.00,3740.00,3699.00,297.00,3728.90,-28.90
16,BEDC,364.00,-0.27,360.00,368.00,360.00,5690.00,365.00,-1.00
17,BFC,387.00,-1.02,390.00,396.00,387.00,44055.00,391.00,-4.00
18,BGWT,650.00,3.68,616.20,655.00,616.20,32841.00,626.90,23.10
19,BHDC,496.00,3.33,489.40,507.00,472.20,6053.00,480.00,16.00
20,BHL,320.00,-1.54,320.00,326.00,318.50,4373.00,325.00,-5.00
21,BHPL,544.00,-1.63,542.00,573.00,522.00,5998.00,553.00,-9.00
22,BNHC,520.00,0.00,510.10,525.00,510.00,21402.00,520.00,0.00
23,BNL,16071.00,-1.99,16200.00,16200.00,16071.00,40.00,16398.00,-327.00
24,BNT,12810.00,-1.46,12812.00,13000.00,12810.00,160.00,13000.00,-190.00
25,BPCL,295.00,0.34,291.10,296.90,291.10,7070.00,294.00,1.00
26,C30MF,8.27,-1.19,8.42,8.42,8.26,600.00,8.37,-0.10
27,CBBL,851.80,2.01,818.30,857.80,818.30,25034.00,835.00,16.80
28,CBLD88,1040.00,-1.79,1039.00,1040.00,1039.00,75.00,1059.00,-19.00
29,CCBD88,1052.10,-0.84,1060.00,1060.00,1052.10,50.00,1061.00,-8.90
30,CFCL,387.00,-1.78,400.00,400.00,384.00,40779.00,394.00,-7.00
31,CGH,790.00,0.38,795.00,795.00,785.00,6083.00,787.00,3.00
32,CHCL,437.00,0.62,442.90,442.90,434.10,9342.00,434.30,2.70
33,CHDC,810.00,9.61,739.00,811.00,716.10,568012.00,739.00,71.00
34,CHL,313.70,-0.38,316.20,320.90,309.00,11760.00,314.90,-1.20
35,CIT,2110.00,0.00,2123.00,2123.00,2089.00,9057.00,2110.10,-0.10
36,CITY,589.00,-1.83,600.10,607.00,588.30,19722.00,600.00,-11.00
37,CIZBD90,1023.00,-0.29,1025.00,1025.00,1022.20,150.00,1026.00,-3.00
38,CKHL,523.90,-0.76,536.00,536.00,520.00,6772.00,527.90,-4.00
39,CLI,458.00,-1.06,465.00,472.00,456.10,36683.00,462.90,-4.90
40,CMF1,8.70,-1.47,8.70,8.70,8.70,29000.00,8.83,-0.13
41,CMF2,8.16,0.25,8.30,8.45,8.00,6350.00,8.14,0.02
42,CORBL,469.00,0.62,460.10,488.00,460.10,7503.00,466.10,2.90
43,CYCL,1597.00,4.72,1495.00,1620.00,1495.00,31619.00,1525.00,72.00
44,CZBIL,158.00,-2.41,165.10,165.10,158.00,58847.00,161.90,-3.90
45,DDBL,753.10,4.87,732.00,755.10,720.00,33401.00,718.10,35.00
46,DHPL,196.80,-1.06,202.80,202.80,193.00,12864.00,198.90,-2.10
47,DLBS,1325.00,8.61,1230.00,1326.00,1220.10,19023.00,1220.00,105.00
48,DOLTI,406.00,-1.22,411.50,418.00,405.00,18367.00,411.00,-5.00
49,DORDI,403.00,-0.74,400.00,404.00,398.60,10383.00,406.00,-3.00
50,EBL,512.00,0.39,505.00,512.00,502.50,21450.00,510.00,2.00
51,EBLD85,1062.40,-3.94,1084.00,1084.00,1062.40,75.00,1106.00,-43.60
52,EDBL,391.40,-0.84,387.00,395.00,385.00,145227.00,394.70,-3.30
53,EHPL,448.00,1.13,437.00,455.00,435.00,7657.00,443.00,5.00
54,ENL,838.00,2.83,810.00,840.00,810.00,4715.00,814.90,23.10
55,FMDBL,670.10,2.31,655.00,684.50,655.00,76056.00,655.00,15.10
56,FOWAD,1261.00,4.21,1213.00,1271.50,1213.00,17995.00,1210.00,51.00
57,GBBD85,992.00,-0.80,981.10,1000.00,981.10,180.00,1000.00,-8.00
58,GBBL,364.00,-0.79,369.00,370.00,363.00,23046.00,366.90,-2.90
59,GBILD86/87,985.00,0.41,985.00,985.00,985.00,35.00,981.00,4.00
60,GBIME,176.00,-1.12,181.50,181.50,175.10,48622.00,178.00,-2.00
61,GBLBS,800.00,2.83,771.00,811.00,765.00,63354.00,778.00,22.00
62,GCIL,483.90,-0.14,481.20,495.00,480.00,38824.00,484.60,-0.70
