SN,Symbol,LTP,%Change,Open,High,Low,Volume,P.Close,Difference
1,ACLBSL,874.10,0.94,849.10,895.00,826.00,19823.00,866.00,8.10
2,ADBL,245.00,0.00,249.90,249.90,242.50,13509.00,245.00,0.00
3,ADBLD83,1056.00,-1.77,1058.00,1058.00,1056.00,100.00,1075.00,-19.00
4,AHL,448.70,2.94,444.00,449.60,428.00,12310.00,435.90,12.80
5,AHPC,165.90,5.00,160.10,167.00,158.00,40183.00,158.00,7.90
6,AKJCL,210.00,3.96,205.00,210.10,201.50,23018.00,202.00,8.00
7,AKPL,171.00,4.65,165.00,172.00,163.00,98942.00,163.40,7.60
8,ALBSL,899.00,3.93,865.10,915.00,865.10,24999.00,865.00,34.00
9,ALICL,577.30,1.64,577.00,577.30,569.90,41545.00,568.00,9.30
10,ANLB,2136.90,5.65,2022.60,2150.00,2010.00,4505.00,2022.60,114.30
11,API,176.60,3.27,174.40,177.00,170.00,99404.00,171.00,5.60
12,AVYAN,864.00,4.10,813.50,875.00,813.50,20566.00,830.00,34.00
13,BARUN,235.50,4.20,223.00,239.80,221.50,19294.00,226.00,9.50
14,BBC,3742.00,0.27,3750.00,3750.00,3708.00,75.00,3732.00,10.00
15,BEDC,374.10,2.49,360.00,379.90,360.00,15570.00,365.00,9.10
16,BFC,394.00,0.77,398.00,398.80,385.00,21346.00,391.00,3.00
17,BGWT,631.00,6.59,600.00,632.00,596.10,49613.00,592.00,39.00
18,BHDC,481.90,0.84,477.00,485.00,474.00,4283.00,477.90,4.00
19,BHL,328.70,3.04,312.70,328.90,312.70,8526.00,319.00,9.70
20,BHPL,568.90,4.39,534.20,576.00,515.00,17010.00,545.00,23.90
21,BNHC,492.00,8.61,444.00,492.00,444.00,26303.00,453.00,39.00
22,BNL,16000.00,-0.49,16000.00,16000.00,16000.00,20.00,16078.00,-78.00
23,BNT,12711.00,-0.54,12524.40,12985.00,12524.40,250.00,12780.00,-69.00
24,BOKD86,1000.00,0.60,1000.00,1000.00,1000.00,53.00,994.00,6.00
25,BPCL,294.50,1.20,296.80,296.80,290.00,4481.00,291.00,3.50
26,C30MF,8.27,-0.48,8.15,8.40,8.15,1100.00,8.31,-0.04
27,CBBL,842.70,2.86,825.00,845.00,820.10,8860.00,819.30,23.40
28,CBLD88,1041.00,1.26,1047.00,1060.00,1040.00,585.00,1028.00,13.00
29,CCBD88,1052.00,1.54,1052.00,1052.00,1052.00,25.00,1036.00,16.00
30,CFCL,396.00,0.69,395.00,397.00,386.00,32692.00,393.30,2.70
31,CGH,795.50,1.34,775.00,799.90,775.00,7574.00,785.00,10.50
32,CHCL,440.00,2.04,439.00,448.00,431.00,41028.00,431.20,8.80
33,CHDC,770.00,3.22,746.00,806.00,732.00,206064.00,746.00,24.00
34,CHL,322.00,3.57,311.00,322.00,311.00,21102.00,310.90,11.10
35,CIT,2112.00,0.67,2099.00,2124.00,2099.00,12370.00,2098.00,14.00
36,CITY,613.00,1.14,610.00,620.00,599.00,26048.00,606.10,6.90
37,CIZBD86,1075.00,1.90,1070.00,1075.00,1070.00,50.00,1055.00,20.00
38,CIZBD90,1059.00,3.75,1040.00,1059.00,1019.20,225.00,1020.70,38.30
39,CKHL,546.00,7.06,506.00,549.00,506.00,20170.00,510.00,36.00
40,CLI,462.40,1.58,452.30,467.40,452.30,37039.00,455.20,7.20
41,CMF1,8.94,-1.97,8.94,8.94,8.94,3120.00,9.12,-0.18
42,CMF2,8.07,5.08,7.83,8.07,7.65,57850.00,7.68,0.39
43,CORBL,475.00,0.23,471.00,480.00,468.60,7255.00,473.90,1.10
44,CYCL,1578.00,1.61,1530.00,1588.90,1515.00,12976.00,1553.00,25.00
45,CZBIL,162.00,0.31,164.70,166.00,160.00,23049.00,161.50,0.50
46,DDBL,721.40,3.80,708.90,730.00,705.00,26607.00,695.00,26.40
47,DHPL,202.50,3.85,195.00,206.60,193.70,14355.00,195.00,7.50
48,DLBS,1264.00,7.21,1162.30,1264.80,1162.30,7247.00,1179.00,85.00
49,DOLTI,425.00,2.16,409.00,428.40,409.00,53971.00,416.00,9.00
50,DORDI,412.00,3.26,405.00,413.00,392.30,16210.00,399.00,13.00
51,EBL,511.00,0.22,519.80,519.80,508.00,23270.00,509.90,1.10
52,EDBL,394.90,1.91,393.00,395.10,386.00,34267.00,387.50,7.40
53,EHPL,450.00,-0.88,446.00,465.00,446.00,9761.00,454.00,-4.00
54,ENL,800.10,0.26,798.00,812.00,788.40,2000.00,798.00,2.10
55,FMDBL,666.00,1.52,669.10,680.00,656.00,68493.00,656.00,10.00
56,FOWAD,1200.00,3.45,1179.90,1212.00,1160.00,10760.00,1160.00,40.00
57,GBBL,369.60,0.30,373.00,373.00,365.60,25974.00,368.50,1.10
58,GBILD86/87,981.00,-2.00,981.00,981.00,981.00,25.00,1001.00,-20.00
59,GBIME,177.00,-0.56,181.50,181.50,176.00,39770.00,178.00,-1.00
60,GBIMEP,100.00,0.00,100.00,100.00,100.00,53170.00,100.00,0.00
61,GBLBS,804.60,2.52,800.40,820.00,785.00,85082.00,784.80,19.80
62,GCIL,480.00,0.44,477.60,483.50,471.20,34848.00,477.90,2.10
63,GFCL,466.40,1.39,458.00,467.10,456.00,17251.00,460.00,6.40
64,GHL,148.20,2.92,146.80,150.50,143.30,77887.00,144.00,4.20
65,GIBF1,8.32,-1.89,8.32,8.39,8.23,900.00,8.48,-0.16
66,GILB,1175.00,0.51,1145.70,1230.00,1145.70,46122.00,1169.00,6.00
67,GLBSL,2377.00,8.05,2156.00,2377.00,2063.00,19397.00,2200.00,177.00
68,GLH,210.00,5.00,200.00,210.00,200.00,15569.00,200.00,10.00
69,GMFBS,1234.00,5.46,1191.90,1239.00,1191.90,3382.00,1170.10,63.90
70,GMFIL,399.00,-0.75,403.00,405.00,395.00,34185.00,402.00,-3.00
71,GRDBL,435.00,-1.36,432.20,448.80,432.20,15002.00,441.00,-6.00
72,GUFL,714.50,0.18,699.00,717.00,699.00,35815.00,713.20,1.30
73,GVL,452.00,4.15,433.50,453.00,433.50,32158.00,434.00,18.00
74,GWFD83,1210.00,-0.82,1210.00,1210.00,1210.00,50.00,1220.00,-10.00
75,H8020,8.71,0.11,8.60,8.71,8.60,1300.00,8.70,0.01
76,HATHY,853.10,3.16,825.00,865.00,825.00,25837.00,827.00,26.10
77,HBL,180.00,-0.44,181.00,182.50,176.10,14319.00,180.80,-0.80
78,HBLD86,1060.00,1.99,1060.00,1060.00,1060.00,25.00,1039.30,20.70
79,HDHPC,133.60,1.60,133.10,134.50,131.20,81367.00,131.50,2.10
80,HDL,1300.00,0.78,1299.90,1300.00,1285.00,27064.00,1290.00,10.00
81,HEI,613.00,2.87,600.00,616.10,598.00,40264.00,595.90,17.10
82,HEIP,370.00,0.87,370.00,370.00,370.00,10.00,366.80,3.20
83,HHL,353.00,4.75,330.50,353.00,330.50,20149.00,337.00,16.00
84,HIDCL,166.00,1.22,162.00,166.50,162.00,41364.00,164.00,2.00
85,HIDCLP,100.10,0.40,100.00,100.40,98.60,30968.00,99.70,0.40
86,HLBSL,949.00,9.71,882.30,951.50,857.00,67484.00,865.00,84.00
87,HLI,397.00,3.17,383.00,398.00,383.00,48953.00,384.80,12.20
88,HPPL,262.90,3.50,249.00,263.00,249.00,8592.00,254.00,8.90
89,HRL,570.10,0.90,564.00,574.00,563.00,59209.00,565.00,5.10
90,HURJA,290.00,-4.64,298.10,298.10,280.00,79562.00,304.10,-14.10
91,ICFC,518.00,0.19,517.00,523.00,516.00,18918.00,517.00,1.00
92,ICFCD83,1213.00,0.66,1190.00,1213.00,1190.00,150.00,1205.00,8.00
93,IGI,539.10,1.53,527.10,543.50,527.10,30692.00,531.00,8.10
94,IHL,391.90,3.68,370.50,394.00,370.50,31571.00,378.00,13.90
95,ILBS,1365.00,0.96,1379.00,1406.50,1354.00,16069.00,1352.00,13.00
96,ILI,547.00,1.30,529.20,550.00,529.20,30195.00,540.00,7.00
97,JALPA,1401.30,6.56,1315.00,1430.00,1310.00,8122.00,1315.00,86.30
98,JBBD87,1019.00,-0.10,1015.00,1019.00,1015.00,65.00,1020.00,-1.00
