SN,Symbol,LTP,%Change,Open,High,Low,Volume,P.Close,Difference
1,ACLBSL,896.00,-2.25,898.30,933.00,862.80,21320.00,916.60,-20.60
2,ADBL,239.00,0.00,243.70,243.70,234.40,14870.00,239.00,0.00
3,ADBLD83,1075.00,-1.38,1076.00,1076.00,1075.00,200.00,1090.00,-15.00
4,AHL,439.80,0.87,428.80,441.60,428.80,1530.00,436.00,3.80
5,AHPC,155.90,-0.70,153.90,160.00,153.90,40482.00,157.00,-1.10
6,AKJCL,204.40,0.25,202.00,207.90,202.00,15553.00,203.90,0.50
7,AKPL,162.60,-0.18,162.20,165.20,162.00,58369.00,162.90,-0.30
8,ALBSL,816.00,-0.98,824.10,834.00,815.00,7533.00,824.10,-8.10
9,ALICL,563.00,5.00,546.90,568.80,546.90,77502.00,536.20,26.80
10,ANLB,2019.80,0.99,2040.00,2040.00,1985.60,509.00,2000.00,19.80
11,API,168.00,2.88,166.50,169.10,164.00,127385.00,163.30,4.70
12,AVYAN,817.90,-2.02,851.00,851.00,811.20,15047.00,834.80,-16.90
13,BARUN,219.00,-0.45,218.10,222.40,217.30,13130.00,220.00,-1.00
14,BBC,3700.00,-1.31,3690.00,3751.00,3680.00,182.00,3749.00,-49.00
15,BEDC,363.00,0.41,365.00,365.00,358.00,3901.00,361.50,1.50
16,BFC,392.00,-2.73,403.00,411.00,392.00,35954.00,403.00,-11.00
17,BGWT,587.10,-1.89,595.00,603.00,587.10,5198.00,598.40,-11.30
18,BHDC,479.00,-0.58,475.00,480.00,473.00,1880.00,481.80,-2.80
19,BHL,319.70,0.06,316.10,324.90,316.10,2013.00,319.50,0.20
20,BHPL,548.00,2.81,522.40,548.60,515.00,9040.00,533.00,15.00
21,BNHC,454.00,2.02,441.00,467.00,441.00,9744.00,445.00,9.00
22,BNL,15763.00,2.00,15763.00,15763.00,15763.00,10.00,15454.00,309.00
23,BNT,12690.00,0.71,12852.00,13109.00,12690.00,155.00,12600.00,90.00
24,BOKD86,994.00,0.81,986.00,994.00,986.00,62.00,986.00,8.00
25,BPCL,290.00,-0.68,289.10,292.00,289.00,8184.00,292.00,-2.00
26,C30MF,8.50,1.80,8.50,8.51,8.50,600.00,8.35,0.15
27,CBBL,820.00,-0.26,820.10,829.00,815.00,14247.00,822.10,-2.10
28,CBLD88,1048.00,1.55,1048.00,1048.00,1048.00,10.00,1032.00,16.00
29,CFCL,394.10,-1.72,400.00,405.90,392.00,22819.00,401.00,-6.90
30,CGH,794.50,-1.67,824.10,825.00,790.00,9093.00,808.00,-13.50
31,CHCL,432.00,-0.69,435.00,435.00,426.30,14998.00,435.00,-3.00
32,CHDC,693.00,2.96,674.00,696.90,673.00,14727.00,673.10,19.90
33,CHL,312.00,-0.95,314.00,326.00,308.70,7319.00,315.00,-3.00
34,CIT,2074.00,0.05,2081.00,2099.90,2071.00,6528.00,2072.90,1.10
35,CITY,614.00,-1.29,630.00,632.40,606.00,39791.00,622.00,-8.00
36,CIZBD90,1035.30,2.00,1035.30,1035.30,1035.30,25.00,1015.00,20.30
37,CKHL,505.00,-0.98,506.30,516.30,505.00,5262.00,510.00,-5.00
38,CLI,450.50,-2.72,453.90,464.00,449.60,110151.00,463.10,-12.60
39,CMF1,8.99,2.28,8.95,8.99,8.95,27000.00,8.79,0.20
40,CMF2,7.84,-1.38,7.80,7.84,7.80,300.00,7.95,-0.11
41,CORBL,479.00,2.46,476.80,486.00,460.00,19840.00,467.50,11.50
42,CYCL,1646.00,3.91,1552.40,1647.00,1471.00,16792.00,1584.00,62.00
43,CZBIL,156.00,0.65,158.10,158.10,153.00,10444.00,155.00,1.00
44,DDBL,695.00,-2.80,714.00,725.00,687.10,10783.00,715.00,-20.00
45,DHPL,198.00,0.00,198.00,205.90,194.40,12467.00,198.00,0.00
46,DLBS,1158.00,-2.61,1189.00,1189.90,1156.50,2925.00,1189.00,-31.00
47,DOLTI,426.00,-4.59,437.60,438.60,425.00,19345.00,446.50,-20.50
48,DORDI,398.00,0.51,396.00,405.00,396.00,7348.00,396.00,2.00
49,EBL,500.00,0.20,501.00,503.00,494.00,33282.00,499.00,1.00
50,EBLD86,977.00,-0.71,992.20,992.20,977.00,75.00,984.00,-7.00
51,EDBL,387.40,0.68,390.00,396.00,375.00,63085.00,384.80,2.60
52,EHPL,462.00,4.31,437.00,478.00,437.00,16337.00,442.90,19.10
53,ENL,789.00,0.90,774.00,812.90,774.00,1035.00,782.00,7.00
54,FMDBL,654.90,-2.56,672.10,672.10,652.00,61273.00,672.10,-17.20
55,FOWAD,1145.00,-2.97,1156.40,1175.00,1142.20,3583.00,1180.00,-35.00
56,GBBD85,985.70,-1.64,985.70,985.70,985.70,50.00,1002.10,-16.40
57,GBBL,366.10,1.10,362.00,370.00,361.30,16116.00,362.10,4.00
58,GBIME,174.00,0.46,176.60,176.60,170.50,56128.00,173.20,0.80
59,GBLBS,773.00,1.31,763.00,776.90,741.00,56322.00,763.00,10.00
60,GCIL,484.00,1.06,470.00,494.00,470.00,56444.00,478.90,5.10
61,GFCL,462.90,-1.30,469.90,469.90,462.00,13531.00,469.00,-6.10
