SN,Symbol,LTP,%Change,Open,High,Low,Volume,P.Close,Difference
1,ACLBSL,905.00,-3.27,954.00,954.00,901.20,12686.00,935.60,-30.60
2,ADBL,261.10,2.80,259.00,265.10,254.00,147012.00,254.00,7.10
3,ADBLD83,1115.00,-0.62,1115.00,1115.00,1115.00,150.00,1122.00,-7.00
4,AHL,444.00,1.63,444.90,451.00,432.10,12588.00,436.90,7.10
5,AHPC,164.00,1.17,163.00,166.40,162.00,74008.00,162.10,1.90
6,AKJCL,208.00,0.43,209.90,210.00,206.00,19278.00,207.10,0.90
7,AKPL,171.00,0.59,170.00,173.00,169.20,67419.00,170.00,1.00
8,ALBSL,943.00,2.06,905.60,958.60,905.60,40098.00,924.00,19.00
9,ALICL,602.50,0.08,610.10,620.00,595.00,51728.00,602.00,0.50
10,ANLB,2372.30,-1.43,2454.00,2590.30,2291.00,6568.00,2406.80,-34.50
11,API,175.70,0.98,177.40,179.00,174.00,120958.00,174.00,1.70
12,AVYAN,893.00,-3.46,925.00,942.00,885.00,30954.00,925.00,-32.00
13,BARUN,235.00,-0.42,239.00,243.00,231.70,24219.00,236.00,-1.00
14,BBC,3750.00,-0.80,3796.00,3796.00,3737.00,100.00,3780.10,-30.10
15,BEDC,368.00,1.10,361.40,375.00,361.40,8924.00,364.00,4.00
16,BFC,399.90,2.02,389.00,411.00,389.00,58283.00,392.00,7.90
17,BGWT,729.30,10.00,673.00,729.30,650.00,55030.00,663.00,66.30
18,BHDC,540.00,6.93,502.00,540.00,498.00,43485.00,505.00,35.00
19,BHL,334.60,-1.41,346.10,346.10,327.00,15956.00,339.40,-4.80
20,BHPL,555.90,9.09,519.70,559.70,519.70,11284.00,509.60,46.30
21,BNHC,601.70,10.00,536.10,601.70,536.10,105690.00,547.00,54.70
22,BNT,12650.00,-1.50,12800.00,13288.00,12650.00,840.00,12842.00,-192.00
23,BOKD86,981.00,-1.90,981.00,981.00,981.00,50.00,1000.00,-19.00
24,BPCL,299.00,0.34,299.50,304.90,299.00,14374.00,298.00,1.00
25,C30MF,8.79,5.90,8.46,8.79,8.46,2050.00,8.30,0.49
