SN,Symbol,LTP,%Change,Open,High,Low,Volume,P.Close,Difference
1,ACLBSL,866.00,-3.35,878.10,944.40,845.00,47974.00,896.00,-30.00
2,ADBL,245.00,2.51,243.70,246.00,235.00,51018.00,239.00,6.00
3,AHL,435.90,-0.89,431.30,444.00,427.00,8450.00,439.80,-3.90
4,AHPC,158.00,1.35,158.20,160.00,156.10,39301.00,155.90,2.10
5,AKJCL,202.00,-1.17,205.00,205.00,201.00,25440.00,204.40,-2.40
6,AKPL,163.40,0.49,162.60,165.00,162.60,30761.00,162.60,0.80
7,ALBSL,865.00,6.00,810.00,865.00,810.00,35075.00,816.00,49.00
8,ALICL,568.00,0.89,555.00,574.90,555.00,38966.00,563.00,5.00
9,ANLB,2022.60,0.14,2000.00,2022.60,1980.40,417.00,2019.80,2.80
10,API,171.00,1.79,171.30,172.90,168.00,92681.00,168.00,3.00
11,AVYAN,830.00,1.48,803.00,830.00,803.00,15471.00,817.90,12.10
12,BARUN,226.00,3.20,220.00,226.00,219.00,11054.00,219.00,7.00
13,BBC,3732.00,0.86,3631.00,3732.00,3631.00,265.00,3700.00,32.00
14,BEDC,365.00,0.55,360.00,365.00,359.30,5638.00,363.00,2.00
15,BFC,391.00,-0.26,386.30,398.70,386.30,21600.00,392.00,-1.00
16,BGWT,592.00,0.83,595.00,595.00,583.10,1845.00,587.10,4.90
17,BHDC,477.90,-0.23,469.80,480.00,469.80,2842.00,479.00,-1.10
18,BHL,319.00,-0.22,313.40,325.00,313.40,2495.00,319.70,-0.70
19,BHPL,545.00,-0.55,537.20,548.70,520.00,5362.00,548.00,-3.00
20,BNHC,453.00,-0.22,454.00,462.00,449.00,2507.00,454.00,-1.00
21,BNL,16078.00,2.00,15800.00,16078.00,15800.00,52.00,15763.00,315.00
22,BNT,12780.00,0.71,12655.00,12780.00,12451.00,240.00,12690.00,90.00
23,BPCL,291.00,0.34,284.40,293.00,284.40,7971.00,290.00,1.00
24,C30MF,8.31,-2.24,8.65,8.65,8.30,640.00,8.50,-0.19
25,CBBL,819.30,-0.09,820.00,825.00,818.00,5711.00,820.00,-0.70
26,CBLD88,1028.00,-1.91,1028.00,1028.00,1027.10,125.00,1048.00,-20.00
27,CFCL,393.30,-0.20,390.60,398.00,390.60,18126.00,394.10,-0.80
28,CGH,785.00,-1.20,809.00,809.00,780.00,5038.00,794.50,-9.50
29,CHCL,431.20,-0.19,439.00,439.00,429.10,27240.00,432.00,-0.80
30,CHDC,746.00,7.65,680.00,756.80,627.00,424897.00,693.00,53.00
31,CHL,310.90,-0.35,308.50,315.00,307.00,7307.00,312.00,-1.10
32,CIT,2098.00,1.16,2080.00,2110.00,2079.50,7108.00,2074.00,24.00
33,CITY,606.10,-1.29,609.90,615.90,600.00,18325.00,614.00,-7.90
34,CIZBD90,1020.70,-1.41,1020.70,1020.70,1020.70,25.00,1035.30,-14.60
35,CKHL,510.00,0.99,502.00,510.00,495.00,15683.00,505.00,5.00
36,CLI,455.20,1.04,459.00,464.00,454.00,49645.00,450.50,4.70
37,CMF1,9.12,1.45,8.99,9.30,8.99,8150.00,8.99,0.13
38,CMF2,7.68,-2.04,7.84,7.84,7.65,90100.00,7.84,-0.16
