S.No,Symbol,LTP,Point,Change,%,Change,Open,High,Low,Volume,Prev.,Close
60,GBIME,178.00,1.00,0.56,178.00,180.00,178.00,"54,933.00",177.00
61,GBLBS,778.00,-26.60,-3.31,819.90,820.00,770.00,"47,115.00",804.60
62,GCIL,484.60,4.60,0.96,481.00,497.00,476.20,"57,172.00",480.00
63,GFCL,457.00,-9.40,-2.02,465.00,470.90,457.00,"13,759.00",466.40
64,GHL,150.00,1.80,1.21,150.00,159.10,148.60,"152,799.00",148.20
65,GIBF1,8.42,0.10,1.20,8.16,8.60,8.16,"5,910.00",8.32
66,GILB,"1,150.00",-25.00,-2.13,"1,152.50","1,187.00","1,142.10","17,676.00","1,175.00"
67,GLBSL,"2,139.30",-237.70,-10.00,"2,420.00","2,420.00","2,139.30","8,965.00","2,377.00"
68,GLH,205.00,-5.00,-2.38,206.10,210.60,205.00,"19,025.00",210.00
69,GMFBS,"1,254.00",20.00,1.62,"1,247.00","1,299.00","1,232.00","7,598.00","1,234.00"
70,GMFIL,396.00,-3.00,-0.75,405.00,405.00,391.20,"25,053.00",399.00
71,GRDBL,432.00,-3.00,-0.69,443.60,443.60,429.00,"21,102.00",435.00
72,GUFL,708.00,-6.50,-0.91,700.30,715.80,700.30,"47,687.00",714.50
73,GVL,444.00,-8.00,-1.77,443.10,460.00,441.40,"4,360.00",452.00
74,H8020,8.70,-0.01,-0.11,8.55,8.86,8.55,"30,800.00",8.71
75,HATHY,835.00,-18.10,-2.12,840.00,865.00,832.10,"13,536.00",853.10
76,HBL,178.00,-2.00,-1.11,180.00,185.60,178.00,"15,048.00",180.00
77,HBLD86,"1,051.00",-9.00,-0.85,"1,052.00","1,052.00","1,051.00",100.00,"1,060.00"
78,HDHPC,133.10,-0.50,-0.37,135.00,137.00,133.00,"80,808.00",133.60
79,HDL,"1,311.00",11.00,0.85,"1,326.00","1,326.00","1,301.00","21,639.00","1,300.00"
80,HEI,613.00,0.00,0.00,619.00,630.00,613.00,"72,300.00",613.00
81,HEIP,346.00,-24.00,-6.49,362.60,369.00,346.00,"16,514.00",370.00
82,HHL,348.90,-4.10,-1.16,350.00,367.00,346.00,"22,953.00",353.00
83,HIDCL,165.40,-0.60,-0.36,168.50,170.00,164.00,"44,942.00",166.00
84,HIDCLP,99.00,-1.10,-1.10,100.20,100.20,99.00,"9,254.00",100.10
85,HLBSL,964.00,15.00,1.58,951.00,978.00,931.50,"30,394.00",949.00
86,HLI,395.10,-1.90,-0.48,399.90,402.00,395.00,"104,809.00",397.00
87,HPPL,261.00,-1.90,-0.72,268.10,268.10,254.20,"18,635.00",262.90
88,HRL,563.10,-7.00,-1.23,575.50,580.00,563.10,"73,511.00",570.10
89,HURJA,286.00,-4.00,-1.38,291.10,293.00,285.20,"25,375.00",290.00
90,ICFC,513.20,-4.80,-0.93,518.00,524.50,513.20,"27,404.00",518.00
91,ICFCD83,"1,230.00",17.00,1.40,"1,215.00","1,230.00","1,215.00",194.00,"1,213.00"
92,IGI,535.40,-3.70,-0.69,536.00,549.00,535.20,"37,588.00",539.10
93,IHL,393.00,1.10,0.28,393.00,400.00,380.10,"34,477.00",391.90
94,ILBS,"1,340.00",-25.00,-1.83,"1,360.00","1,383.00","1,339.00","13,063.00","1,365.00"
95,ILI,540.90,-6.10,-1.12,550.00,554.00,539.00,"34,487.00",547.00
96,JALPA,"1,443.00",41.70,2.98,"1,420.00","1,496.80","1,420.00","7,508.00","1,401.30"
97,JBBD87,"1,004.00",-15.00,-1.47,"1,004.00","1,004.00","1,004.00",25.00,"1,019.00"
98,JBBL,298.00,-1.00,-0.33,299.00,306.00,295.60,"70,669.00",299.00
99,JBLB,"1,380.00",0.00,0.00,"1,380.00","1,445.00","1,375.00","17,479.00","1,380.00"
100,JFL,516.00,3.30,0.64,512.70,526.30,503.00,"50,573.00",512.70
101,JOSHI,310.10,-9.90,-3.09,325.00,326.00,310.00,"59,539.00",320.00
102,JSLBB,"1,370.00",22.70,1.68,"1,374.20","1,461.00","1,347.30","6,560.00","1,347.30"
103,KBL,139.00,-1.00,-0.71,142.00,142.00,137.20,"142,190.00",140.00
104,KBLD86,"1,077.00",-0.70,-0.06,"1,077.00","1,077.00","1,077.00",25.00,"1,077.70"
105,KBSH,"1,075.00",25.00,2.38,"1,069.00","1,110.00","1,055.00","1,167.00","1,050.00"
106,KDBY,8.59,-0.21,-2.39,8.63,8.67,8.50,"3,100.00",8.80
107,KDL,800.10,-24.90,-3.02,810.30,830.60,800.00,"9,141.00",825.00
108,KEF,8.10,-0.10,-1.22,8.20,8.34,7.88,"33,825.00",8.20
109,KKHC,223.00,-3.30,-1.46,230.60,230.60,221.70,"12,399.00",226.30
110,KLBSL,943.00,23.00,2.50,930.00,956.60,922.00,"7,449.00",920.00
111,KMCDB,935.00,-25.00,-2.60,960.00,969.90,917.00,"11,312.00",960.00
112,KPCL,404.80,-3.20,-0.78,414.90,415.00,404.80,"4,441.00",408.00
113,KRBL,435.10,-13.90,-3.10,457.90,457.90,435.00,"18,514.00",449.00
114,KSBBL,378.00,0.60,0.16,384.40,388.00,375.00,"105,335.00",377.40
115,KSBBLD87,"1,007.10",-12.90,-1.26,"1,015.00","1,015.00","1,007.10",150.00,"1,020.00"
116,KSY,8.11,-0.03,-0.37,8.14,8.40,8.00,"3,762.00",8.14
117,LBBL,376.40,-4.60,-1.21,388.60,388.60,375.00,"11,654.00",381.00
118,LBBLD89,"1,115.00",2.10,0.19,"1,115.00","1,115.00","1,115.00",25.00,"1,112.90"
119,LBLD86,"1,045.00",19.90,1.94,"1,045.00","1,045.00","1,045.00",25.00,"1,025.10"
120,LEC,183.00,-3.00,-1.61,189.60,189.60,183.00,"35,482.00",186.00
121,LICN,"1,312.90",13.90,1.07,"1,299.00","1,335.00","1,295.00","4,047.00","1,299.00"
122,LLBS,"1,072.10",-34.90,-3.15,"1,106.00","1,128.00","1,070.10","17,065.00","1,107.00"
123,LSL,154.00,-2.90,-1.85,157.90,157.90,152.20,"63,913.00",156.90
124,LVF2,7.95,0.00,0.00,7.90,8.00,7.90,"2,000.00",7.95
125,MAKAR,373.90,-6.80,-1.79,375.00,387.00,368.20,"10,522.00",380.70
126,MANDU,"1,025.00",58.30,6.03,948.00,"1,045.00",900.00,"41,435.00",966.70
127,MBJC,294.90,3.90,1.34,286.20,297.00,286.20,"7,879.00",291.00
128,MBL,167.90,-2.90,-1.70,170.80,173.20,166.00,"27,434.00",170.80
129,MCHL,373.00,-6.00,-1.58,372.00,385.00,372.00,"19,924.00",379.00
130,MDB,475.00,0.10,0.02,475.00,480.00,471.20,"48,856.00",474.90
131,MEHL,308.00,-3.00,-0.96,305.00,318.20,305.00,"17,414.00",311.00
132,MEL,229.00,-6.00,-2.55,231.00,236.70,228.00,"46,699.00",235.00
133,MEN,544.80,-1.90,-0.35,557.00,557.00,540.00,"40,897.00",546.70
