S.No,Symbol,LTP,Point,Change,%,Change,Open,High,Low,Volume,Prev.,Close
1,ACLBSL,945.00,45.00,5.00,882.10,955.00,866.00,"37,972.00",900.00
2,ADBL,241.10,-2.90,-1.19,248.80,248.80,239.00,"24,081.00",244.00
3,ADBLD83,"1,080.00",-18.50,-1.68,"1,080.00","1,080.00","1,080.00",80.00,"1,098.50"
4,AHL,429.20,-13.80,-3.12,449.00,451.00,428.00,"16,194.00",443.00
5,AHPC,162.00,-3.00,-1.82,168.30,168.30,161.70,"16,093.00",165.00
6,AKJCL,203.10,-3.90,-1.88,205.00,208.90,203.00,"16,277.00",207.00
7,AKPL,165.10,-2.00,-1.20,165.70,168.30,164.10,"31,149.00",167.10
8,ALBSL,900.00,20.00,2.27,879.90,928.20,865.00,"34,035.00",880.00
9,ALICL,571.80,-3.70,-0.64,564.00,575.00,564.00,"14,300.00",575.50
10,ALICLP,312.00,4.00,1.30,312.00,312.00,312.00,"75,426.00",308.00
11,ANLB,"2,188.00",68.00,3.21,"2,144.00","2,229.00","2,110.00","4,308.00","2,120.00"
12,API,170.20,-2.40,-1.39,175.00,175.00,170.20,"57,581.00",172.60
13,AVYAN,918.90,71.90,8.49,858.90,931.70,850.00,"50,673.00",847.00
14,BARUN,235.00,3.10,1.34,228.10,235.00,226.10,"23,565.00",231.90
15,BBC,"3,700.00",-28.90,-0.78,"3,701.00","3,740.00","3,699.00",297.00,"3,728.90"
16,BEDC,364.00,-1.00,-0.27,360.00,368.00,360.00,"5,690.00",365.00
17,BFC,387.00,-4.00,-1.02,390.00,396.00,387.00,"44,055.00",391.00
18,BGWT,650.00,23.10,3.68,616.20,655.00,616.20,"32,841.00",626.90
19,BHDC,496.00,16.00,3.33,489.40,507.00,472.20,"6,053.00",480.00
20,BHL,320.00,-5.00,-1.54,320.00,326.00,318.50,"4,373.00",325.00
21,BHPL,544.00,-9.00,-1.63,542.00,573.00,522.00,"5,998.00",553.00
22,BNHC,520.00,0.00,0.00,510.10,525.00,510.00,"21,402.00",520.00
23,BNL,"16,071.00",-327.00,-1.99,"16,200.00","16,200.00","16,071.00",40.00,"16,398.00"
24,BNT,"12,810.00",-190.00,-1.46,"12,812.00","13,000.00","12,810.00",160.00,"13,000.00"
25,BPCL,295.00,1.00,0.34,291.10,296.90,291.10,"7,070.00",294.00
26,C30MF,8.27,-0.10,-1.19,8.42,8.42,8.26,600.00,8.37
27,CBBL,851.80,16.80,2.01,818.30,857.80,818.30,"25,034.00",835.00
28,CBLD88,"1,040.00",-19.00,-1.79,"1,039.00","1,040.00","1,039.00",75.00,"1,059.00"
29,CCBD88,"1,052.10",-8.90,-0.84,"1,060.00","1,060.00","1,052.10",50.00,"1,061.00"
30,CFCL,387.00,-7.00,-1.78,400.00,400.00,384.00,"40,779.00",394.00
31,CGH,790.00,3.00,0.38,795.00,795.00,785.00,"6,083.00",787.00
32,CHCL,437.00,2.70,0.62,442.90,442.90,434.10,"9,342.00",434.30
33,CHDC,810.00,71.00,9.61,739.00,811.00,716.10,"568,012.00",739.00
34,CHL,313.70,-1.20,-0.38,316.20,320.90,309.00,"11,760.00",314.90
35,CIT,"2,110.00",-0.10,0.00,"2,123.00","2,123.00","2,089.00","9,057.00","2,110.10"
36,CITY,589.00,-11.00,-1.83,600.10,607.00,588.30,"19,722.00",600.00
37,CIZBD90,"1,023.00",-3.00,-0.29,"1,025.00","1,025.00","1,022.20",150.00,"1,026.00"
38,CKHL,523.90,-4.00,-0.76,536.00,536.00,520.00,"6,772.00",527.90
39,CLI,458.00,-4.90,-1.06,465.00,472.00,456.10,"36,683.00",462.90
40,CMF1,8.70,-0.13,-1.47,8.70,8.70,8.70,"29,000.00",8.83
41,CMF2,8.16,0.02,0.25,8.30,8.45,8.00,"6,350.00",8.14
42,CORBL,469.00,2.90,0.62,460.10,488.00,460.10,"7,503.00",466.10
43,CYCL,"1,597.00",72.00,4.72,"1,495.00","1,620.00","1,495.00","31,619.00","1,525.00"
44,CZBIL,158.00,-3.90,-2.41,165.10,165.10,158.00,"58,847.00",161.90
45,DDBL,753.10,35.00,4.87,732.00,755.10,720.00,"33,401.00",718.10
46,DHPL,196.80,-2.10,-1.06,202.80,202.80,193.00,"12,864.00",198.90
47,DLBS,"1,325.00",105.00,8.61,"1,230.00","1,326.00","1,220.10","19,023.00","1,220.00"
48,DOLTI,406.00,-5.00,-1.22,411.50,418.00,405.00,"18,367.00",411.00
49,DORDI,403.00,-3.00,-0.74,400.00,404.00,398.60,"10,383.00",406.00
50,EBL,512.00,2.00,0.39,505.00,512.00,502.50,"21,450.00",510.00
51,EBLD85,"1,062.40",-43.60,-3.94,"1,084.00","1,084.00","1,062.40",75.00,"1,106.00"
52,EDBL,391.40,-3.30,-0.84,387.00,395.00,385.00,"145,227.00",394.70
53,EHPL,448.00,5.00,1.13,437.00,455.00,435.00,"7,657.00",443.00
54,ENL,838.00,23.10,2.83,810.00,840.00,810.00,"4,715.00",814.90
55,FMDBL,670.10,15.10,2.31,655.00,684.50,655.00,"76,056.00",655.00
56,FOWAD,"1,261.00",51.00,4.21,"1,213.00","1,271.50","1,213.00","17,995.00","1,210.00"
57,GBBD85,992.00,-8.00,-0.80,981.10,"1,000.00",981.10,180.00,"1,000.00"
58,GBBL,364.00,-2.90,-0.79,369.00,370.00,363.00,"23,046.00",366.90
59,GBILD86/87,985.00,4.00,0.41,985.00,985.00,985.00,35.00,981.00
60,GBIME,176.00,-2.00,-1.12,181.50,181.50,175.10,"48,622.00",178.00
61,GBLBS,800.00,22.00,2.83,771.00,811.00,765.00,"63,354.00",778.00
62,GCIL,483.90,-0.70,-0.14,481.20,495.00,480.00,"38,824.00",484.60
63,GFCL,456.80,-0.20,-0.04,460.00,464.00,450.10,"13,830.00",457.00
64,GHL,150.00,0.00,0.00,152.00,154.80,149.10,"67,737.00",150.00
65,GIBF1,8.16,-0.26,-3.09,8.26,8.29,8.13,"2,100.00",8.42
66,GILB,"1,253.80",103.80,9.03,"1,138.10","1,255.00","1,136.00","42,863.00","1,150.00"
67,GLBSL,"2,110.00",-29.30,-1.37,"2,096.60","2,138.50","2,000.00","15,425.00","2,139.30"
68,GLH,205.00,0.00,0.00,202.00,207.00,202.00,"4,870.00",205.00
69,GMFBS,"1,355.00",101.00,8.05,"1,229.50","1,370.00","1,229.10","6,659.00","1,254.00"
70,GMFIL,387.00,-9.00,-2.27,395.00,399.00,386.30,"26,759.00",396.00
71,GRDBL,433.00,1.00,0.23,439.90,439.90,426.30,"16,707.00",432.00
72,GUFL,693.00,-15.00,-2.12,693.90,718.00,687.00,"82,143.00",708.00
73,GVL,441.50,-2.50,-0.56,441.00,449.00,436.70,"8,287.00",444.00
74,GWFD83,"1,220.00",10.00,0.83,"1,220.00","1,220.00","1,220.00",200.00,"1,210.00"
75,H8020,8.75,0.05,0.57,8.70,8.87,8.53,"11,200.00",8.70
76,HATHY,832.00,-3.00,-0.36,827.00,854.70,821.00,"26,454.00",835.00
77,HBL,175.60,-2.40,-1.35,181.50,181.50,175.10,"43,319.00",178.00
78,HBLD83,"1,046.00",-14.80,-1.40,"1,047.00","1,047.00","1,046.00",125.00,"1,060.80"
79,HBLPO,150.00,0.00,0.00,150.00,150.00,150.00,"5,291.00",123.20
80,HDHPC,133.40,0.30,0.23,133.50,134.20,131.30,"51,010.00",133.10
81,HDL,"1,302.00",-9.00,-0.69,"1,329.00","1,329.00","1,300.00","16,902.00","1,311.00"
82,HEI,606.80,-6.20,-1.01,613.00,616.00,605.30,"28,048.00",613.00
83,HEIP,355.00,9.00,2.60,352.90,359.90,347.40,"2,192.00",346.00
84,HHL,354.00,5.10,1.46,342.60,356.00,342.60,"9,638.00",348.90
85,HIDCL,163.10,-2.30,-1.39,162.50,166.00,162.50,"26,617.00",165.40
86,HIDCLP,98.90,-0.10,-0.10,99.10,99.20,97.20,"57,325.00",99.00
87,HLBSL,"1,060.40",96.40,10.00,973.00,"1,060.40",949.00,"71,638.00",964.00
88,HLI,399.00,3.90,0.99,403.00,403.00,391.20,"45,253.00",395.10
89,HPPL,256.20,-4.80,-1.84,260.00,263.00,251.00,"5,851.00",261.00
90,HRL,556.60,-6.50,-1.15,563.00,566.10,556.10,"94,013.00",563.10
91,HURJA,283.60,-2.40,-0.84,282.00,286.00,280.00,"16,561.00",286.00
92,ICFC,511.00,-2.20,-0.43,515.90,519.00,507.00,"21,974.00",513.20
93,ICFCD83,"1,205.40",-24.60,-2.00,"1,230.00","1,230.00","1,205.40",355.00,"1,230.00"
94,IGI,535.00,-0.40,-0.07,531.00,539.90,529.50,"23,387.00",535.40
95,IHL,389.90,-3.10,-0.79,393.10,395.00,377.60,"10,574.00",393.00
96,ILBS,"1,379.90",39.90,2.98,"1,321.00","1,380.00","1,315.00","24,046.00","1,340.00"
97,ILI,539.00,-1.90,-0.35,539.00,544.00,538.20,"23,111.00",540.90
98,JALPA,"1,587.30",144.30,10.00,"1,430.00","1,587.30","1,403.00","12,988.00","1,443.00"
99,JBBD87,"1,000.00",-4.00,-0.40,988.10,"1,000.00",988.00,125.00,"1,004.00"
100,JBBL,295.90,-2.10,-0.70,298.00,300.00,292.30,"31,917.00",298.00
101,JBLB,"1,470.00",90.00,6.52,"1,381.20","1,500.00","1,381.20","48,847.00","1,380.00"
102,JFL,510.00,-6.00,-1.16,505.70,550.00,500.00,"37,934.00",516.00
103,JOSHI,308.00,-2.10,-0.68,309.00,317.00,305.00,"34,065.00",310.10
104,JSLBB,"1,460.00",90.00,6.57,"1,397.00","1,475.00","1,369.10","12,806.00","1,370.00"
105,KBL,137.00,-2.00,-1.44,141.70,141.70,135.30,"124,746.00",139.00
106,KBSH,"1,059.50",-15.50,-1.44,"1,090.00","1,090.00","1,040.10","1,197.00","1,075.00"
107,KDBY,8.70,0.11,1.28,8.58,8.77,8.58,"3,749.00",8.59
108,KDL,810.00,9.90,1.24,815.00,815.00,800.00,"4,052.00",800.10
109,KEF,8.10,0.00,0.00,7.94,8.10,7.94,"2,700.00",8.10
110,KKHC,220.00,-3.00,-1.35,219.10,227.00,218.00,"14,205.00",223.00
