S.No,Symbol,LTP,Point,Change,%,Change,Open,High,Low,Volume,Prev.,Close
1,ACLBSL,905.00,-30.60,-3.27,954.00,954.00,901.20,"12,686.00",935.60
2,ADBL,261.10,7.10,2.80,259.00,265.10,254.00,"147,012.00",254.00
3,ADBLD83,"1,115.00",-7.00,-0.62,"1,115.00","1,115.00","1,115.00",150.00,"1,122.00"
4,AHL,444.00,7.10,1.63,444.90,451.00,432.10,"12,588.00",436.90
5,AHPC,164.00,1.90,1.17,163.00,166.40,162.00,"74,008.00",162.10
6,AKJCL,208.00,0.90,0.43,209.90,210.00,206.00,"19,278.00",207.10
7,AKPL,171.00,1.00,0.59,170.00,173.00,169.20,"67,419.00",170.00
8,ALBSL,943.00,19.00,2.06,905.60,958.60,905.60,"40,098.00",924.00
9,ALICL,602.50,0.50,0.08,610.10,620.00,595.00,"51,728.00",602.00
10,ANLB,"2,372.30",-34.50,-1.43,"2,454.00","2,590.30","2,291.00","6,568.00","2,406.80"
11,API,175.70,1.70,0.98,177.40,179.00,174.00,"120,958.00",174.00
12,AVYAN,893.00,-32.00,-3.46,925.00,942.00,885.00,"30,954.00",925.00
13,BARUN,235.00,-1.00,-0.42,239.00,243.00,231.70,"24,219.00",236.00
14,BBC,"3,750.00",-30.10,-0.80,"3,796.00","3,796.00","3,737.00",100.00,"3,780.10"
15,BEDC,368.00,4.00,1.10,361.40,375.00,361.40,"8,924.00",364.00
16,BFC,399.90,7.90,2.02,389.00,411.00,389.00,"58,283.00",392.00
17,BGWT,729.30,66.30,10.00,673.00,729.30,650.00,"55,030.00",663.00
18,BHDC,540.00,35.00,6.93,502.00,540.00,498.00,"43,485.00",505.00
19,BHL,334.60,-4.80,-1.41,346.10,346.10,327.00,"15,956.00",339.40
20,BHPL,555.90,46.30,9.09,519.70,559.70,519.70,"11,284.00",509.60
21,BNHC,601.70,54.70,10.00,536.10,601.70,536.10,"105,690.00",547.00
22,BNT,"12,650.00",-192.00,-1.50,"12,800.00","13,288.00","12,650.00",840.00,"12,842.00"
23,BOKD86,981.00,-19.00,-1.90,981.00,981.00,981.00,50.00,"1,000.00"
24,BPCL,299.00,1.00,0.34,299.50,304.90,299.00,"14,374.00",298.00
25,C30MF,8.79,0.49,5.90,8.46,8.79,8.46,"2,050.00",8.30
26,CBBL,856.70,-6.30,-0.73,868.00,875.00,855.00,"21,817.00",863.00
27,CBLD88,"1,069.00",20.40,1.95,"1,060.00","1,069.00","1,060.00",225.00,"1,048.60"
28,CCBD88,"1,052.00",-3.00,-0.28,"1,052.00","1,052.00","1,052.00",38.00,"1,055.00"
29,CFCL,387.00,-1.00,-0.26,388.00,392.70,382.60,"18,888.00",388.00
30,CGH,800.00,4.00,0.50,811.00,811.00,794.00,"15,662.00",796.00
31,CHCL,448.10,-0.80,-0.18,450.00,456.00,447.80,"49,360.00",448.90
32,CHDC,827.00,-9.30,-1.11,849.00,849.00,812.60,"229,490.00",836.30
33,CHL,336.00,23.00,7.35,317.90,344.30,314.00,"119,761.00",313.00
34,CIT,"2,166.00",43.00,2.03,"2,102.50","2,170.00","2,102.50","23,237.00","2,123.00"
35,CITY,601.00,1.00,0.17,611.90,614.30,600.10,"18,332.00",600.00
36,CIZBD90,"1,074.50",39.50,3.82,"1,055.00","1,075.00","1,053.50",387.00,"1,035.00"
37,CKHL,555.00,14.00,2.59,551.80,560.00,540.00,"19,239.00",541.00
38,CLI,481.00,-2.90,-0.60,488.00,493.50,478.30,"126,558.00",483.90
39,CMF1,9.11,0.30,3.41,8.98,9.29,8.98,"1,655.00",8.81
40,CMF2,8.37,-0.11,-1.30,8.32,8.37,8.16,"145,375.00",8.48
41,CORBL,475.00,0.10,0.02,484.30,493.90,475.00,"4,940.00",474.90
42,CYCL,"1,597.00",-7.10,-0.44,"1,572.10","1,631.00","1,540.00","14,686.00","1,604.10"
43,CZBIL,172.00,8.00,4.88,167.20,175.90,165.00,"114,601.00",164.00
44,DDBL,758.80,-11.20,-1.45,779.90,780.00,750.00,"22,198.00",770.00
45,DHPL,198.20,0.20,0.10,197.00,201.50,196.00,"15,706.00",198.00
46,DLBS,"1,290.00",-50.00,-3.73,"1,350.00","1,356.00","1,275.00","9,441.00","1,340.00"
47,DOLTI,405.00,14.90,3.82,391.60,420.00,391.60,"20,543.00",390.10
48,DORDI,415.00,13.00,3.23,410.00,416.00,402.10,"28,659.00",402.00
49,EBL,532.00,15.00,2.90,527.00,544.00,522.00,"103,898.00",517.00
50,EBLD85,"1,083.00",-44.00,-3.90,"1,105.00","1,105.00","1,083.00",25.00,"1,127.00"
51,EBLD86,981.00,-19.00,-1.90,981.00,981.00,981.00,25.00,"1,000.00"
52,EDBL,391.00,-4.00,-1.01,396.50,400.00,388.00,"38,543.00",395.00
53,EHPL,449.90,0.10,0.02,455.00,455.00,441.00,"6,008.00",449.80
54,ENL,850.00,-15.00,-1.73,881.00,881.00,840.00,"4,409.00",865.00
55,FMDBL,710.00,15.00,2.16,700.00,728.20,686.00,"190,684.00",695.00
56,FOWAD,"1,279.00",-22.00,-1.69,"1,320.00","1,320.00","1,265.00","16,156.00","1,301.00"
57,GBBD85,"1,000.00",0.00,0.00,"1,000.00","1,000.10","1,000.00",349.00,"1,000.00"
58,GBBL,370.10,4.10,1.12,370.50,378.00,367.10,"36,591.00",366.00
59,GBILD86/87,990.00,5.00,0.51,990.00,990.00,990.00,25.00,985.00
60,GBIME,186.50,5.50,3.04,184.60,192.00,178.50,"320,341.00",181.00
61,GBIMEP,100.00,0.00,0.00,100.00,100.00,100.00,"10,802.00",100.00
62,GBLBS,780.00,-18.00,-2.26,798.00,810.00,775.00,"24,024.00",798.00
63,GCIL,496.10,-6.90,-1.37,513.00,513.00,494.10,"55,810.00",503.00
64,GFCL,458.00,-9.70,-2.07,473.00,473.00,457.00,"12,984.00",467.70
65,GHL,151.00,-0.80,-0.53,153.50,153.50,150.10,"112,434.00",151.80
66,GIBF1,8.63,0.34,4.10,8.29,8.63,8.29,"3,900.00",8.29
67,GILB,"1,220.00",-19.00,-1.53,"1,216.00","1,265.10","1,204.50","20,270.00","1,239.00"
68,GLBSL,"1,913.00",-87.00,-4.35,"1,973.00","1,998.90","1,911.00","5,543.00","2,000.00"
69,GLH,207.00,0.00,0.00,207.00,213.00,207.00,"19,457.00",207.00
70,GMFBS,"1,327.00",7.00,0.53,"1,320.00","1,372.90","1,294.50","4,344.00","1,320.00"
71,GMFIL,395.00,-3.00,-0.75,400.00,405.00,393.20,"33,990.00",398.00
72,GRDBL,434.90,-0.10,-0.02,443.70,443.70,428.00,"20,602.00",435.00
73,GUFL,670.00,-13.00,-1.90,670.00,696.00,668.10,"72,783.00",683.00
74,GVL,449.00,3.00,0.67,440.00,460.00,440.00,"10,357.00",446.00
75,H8020,8.70,0.07,0.81,8.63,8.87,8.60,"1,250.00",8.63
76,HATHY,859.00,21.90,2.62,835.00,868.00,835.00,"52,955.00",837.10
77,HBL,191.00,10.00,5.52,181.00,195.50,180.00,"80,489.00",181.00
78,HDHPC,134.20,1.20,0.90,133.00,137.40,133.00,"89,907.00",133.00
79,HDL,"1,313.00",9.00,0.69,"1,319.00","1,320.00","1,310.00","26,496.00","1,304.00"
80,HEI,625.00,-14.90,-2.33,650.00,652.00,625.00,"58,568.00",639.90
81,HEIP,373.00,-5.00,-1.32,383.60,383.60,363.00,"3,130.00",378.00
82,HHL,365.00,10.00,2.82,362.00,372.50,347.10,"21,946.00",355.00
83,HIDCL,169.40,2.60,1.56,169.90,173.50,166.00,"146,675.00",166.80
84,HIDCLP,99.40,-0.10,-0.10,99.60,100.00,99.00,"22,905.00",99.50
85,HLBSL,"1,160.00",10.00,0.87,"1,130.00","1,160.00","1,069.20","88,775.00","1,150.00"
86,HLI,411.00,-3.40,-0.82,420.00,420.00,408.00,"139,147.00",414.40
87,HPPL,262.00,3.00,1.16,262.40,262.40,257.10,"16,649.00",259.00
88,HRL,583.00,0.90,0.15,581.00,592.00,579.00,"157,780.00",582.10
89,HURJA,286.00,2.20,0.78,286.00,289.40,282.00,"45,814.00",283.80
90,ICFC,510.00,-4.00,-0.78,519.00,519.90,509.00,"32,450.00",514.00
91,IGI,553.50,-9.50,-1.69,571.90,580.00,551.00,"91,956.00",563.00
92,IHL,397.80,11.70,3.03,390.00,401.00,388.00,"49,079.00",386.10
93,ILBS,"1,439.00",76.80,5.64,"1,388.00","1,492.00","1,388.00","57,347.00","1,362.20"
94,ILI,562.20,-1.80,-0.32,575.20,575.20,562.00,"84,495.00",564.00
95,JALPA,"1,515.00",-65.00,-4.11,"1,585.00","1,670.00","1,513.00","6,906.00","1,580.00"
96,JBBD87,965.00,-35.00,-3.50,965.00,965.00,965.00,25.00,"1,000.00"
97,JBBL,297.90,1.00,0.34,301.00,301.30,296.40,"57,990.00",296.90
98,JBLB,"1,425.00",-25.00,-1.72,"1,440.00","1,503.00","1,418.00","17,837.00","1,450.00"
99,JFL,491.00,-17.00,-3.35,502.00,512.00,490.20,"42,445.00",508.00
100,JOSHI,307.00,-4.00,-1.29,313.90,316.00,302.00,"56,176.00",311.00
101,JSLBB,"1,400.00",-35.10,-2.45,"1,460.00","1,475.00","1,390.00","5,843.00","1,435.10"
102,KBL,144.30,5.50,3.96,141.50,148.50,136.50,"443,058.00",138.80
103,KBSH,"1,075.00",-20.00,-1.83,"1,095.00","1,109.00","1,052.20","1,002.00","1,095.00"
104,KDBY,8.69,-0.07,-0.80,8.59,8.88,8.59,"9,500.00",8.76
105,KDL,866.00,43.00,5.22,839.40,899.00,823.00,"33,711.00",823.00
