S.No,Symbol,LTP,Point,Change,%,Change,Open,High,Low,Volume,Prev.,Close
1,ACLBSL,874.10,8.10,0.94,849.10,895.00,826.00,"19,823.00",866.00
2,ADBL,245.00,0.00,0.00,249.90,249.90,242.50,"13,509.00",245.00
3,ADBLD83,"1,056.00",-19.00,-1.77,"1,058.00","1,058.00","1,056.00",100.00,"1,075.00"
4,AHL,448.70,12.80,2.94,444.00,449.60,428.00,"12,310.00",435.90
5,AHPC,165.90,7.90,5.00,160.10,167.00,158.00,"40,183.00",158.00
6,AKJCL,210.00,8.00,3.96,205.00,210.10,201.50,"23,018.00",202.00
7,AKPL,171.00,7.60,4.65,165.00,172.00,163.00,"98,942.00",163.40
8,ALBSL,899.00,34.00,3.93,865.10,915.00,865.10,"24,999.00",865.00
9,ALICL,577.30,9.30,1.64,577.00,577.30,569.90,"41,545.00",568.00
10,ANLB,"2,136.90",114.30,5.65,"2,022.60","2,150.00","2,010.00","4,505.00","2,022.60"
11,API,176.60,5.60,3.27,174.40,177.00,170.00,"99,404.00",171.00
12,AVYAN,864.00,34.00,4.10,813.50,875.00,813.50,"20,566.00",830.00
13,BARUN,235.50,9.50,4.20,223.00,239.80,221.50,"19,294.00",226.00
14,BBC,"3,742.00",10.00,0.27,"3,750.00","3,750.00","3,708.00",75.00,"3,732.00"
15,BEDC,374.10,9.10,2.49,360.00,379.90,360.00,"15,570.00",365.00
16,BFC,394.00,3.00,0.77,398.00,398.80,385.00,"21,346.00",391.00
17,BGWT,631.00,39.00,6.59,600.00,632.00,596.10,"49,613.00",592.00
18,BHDC,481.90,4.00,0.84,477.00,485.00,474.00,"4,283.00",477.90
19,BHL,328.70,9.70,3.04,312.70,328.90,312.70,"8,526.00",319.00
20,BHPL,568.90,23.90,4.39,534.20,576.00,515.00,"17,010.00",545.00
21,BNHC,492.00,39.00,8.61,444.00,492.00,444.00,"26,303.00",453.00
22,BNL,"16,000.00",-78.00,-0.49,"16,000.00","16,000.00","16,000.00",20.00,"16,078.00"
23,BNT,"12,711.00",-69.00,-0.54,"12,524.40","12,985.00","12,524.40",250.00,"12,780.00"
24,BOKD86,"1,000.00",6.00,0.60,"1,000.00","1,000.00","1,000.00",53.00,994.00
25,BPCL,294.50,3.50,1.20,296.80,296.80,290.00,"4,481.00",291.00
26,C30MF,8.27,-0.04,-0.48,8.15,8.40,8.15,"1,100.00",8.31
27,CBBL,842.70,23.40,2.86,825.00,845.00,820.10,"8,860.00",819.30
28,CBLD88,"1,041.00",13.00,1.26,"1,047.00","1,060.00","1,040.00",585.00,"1,028.00"
29,CCBD88,"1,052.00",16.00,1.54,"1,052.00","1,052.00","1,052.00",25.00,"1,036.00"
30,CFCL,396.00,2.70,0.69,395.00,397.00,386.00,"32,692.00",393.30
31,CGH,795.50,10.50,1.34,775.00,799.90,775.00,"7,574.00",785.00
32,CHCL,440.00,8.80,2.04,439.00,448.00,431.00,"41,028.00",431.20
33,CHDC,770.00,24.00,3.22,746.00,806.00,732.00,"206,064.00",746.00
34,CHL,322.00,11.10,3.57,311.00,322.00,311.00,"21,102.00",310.90
35,CIT,"2,112.00",14.00,0.67,"2,099.00","2,124.00","2,099.00","12,370.00","2,098.00"
36,CITY,613.00,6.90,1.14,610.00,620.00,599.00,"26,048.00",606.10
37,CIZBD86,"1,075.00",20.00,1.90,"1,070.00","1,075.00","1,070.00",50.00,"1,055.00"
38,CIZBD90,"1,059.00",38.30,3.75,"1,040.00","1,059.00","1,019.20",225.00,"1,020.70"
39,CKHL,546.00,36.00,7.06,506.00,549.00,506.00,"20,170.00",510.00
40,CLI,462.40,7.20,1.58,452.30,467.40,452.30,"37,039.00",455.20
41,CMF1,8.94,-0.18,-1.97,8.94,8.94,8.94,"3,120.00",9.12
42,CMF2,8.07,0.39,5.08,7.83,8.07,7.65,"57,850.00",7.68
43,CORBL,475.00,1.10,0.23,471.00,480.00,468.60,"7,255.00",473.90
44,CYCL,"1,578.00",25.00,1.61,"1,530.00","1,588.90","1,515.00","12,976.00","1,553.00"
45,CZBIL,162.00,0.50,0.31,164.70,166.00,160.00,"23,049.00",161.50
46,DDBL,721.40,26.40,3.80,708.90,730.00,705.00,"26,607.00",695.00
47,DHPL,202.50,7.50,3.85,195.00,206.60,193.70,"14,355.00",195.00
48,DLBS,"1,264.00",85.00,7.21,"1,162.30","1,264.80","1,162.30","7,247.00","1,179.00"
49,DOLTI,425.00,9.00,2.16,409.00,428.40,409.00,"53,971.00",416.00
50,DORDI,412.00,13.00,3.26,405.00,413.00,392.30,"16,210.00",399.00
51,EBL,511.00,1.10,0.22,519.80,519.80,508.00,"23,270.00",509.90
52,EDBL,394.90,7.40,1.91,393.00,395.10,386.00,"34,267.00",387.50
53,EHPL,450.00,-4.00,-0.88,446.00,465.00,446.00,"9,761.00",454.00
54,ENL,800.10,2.10,0.26,798.00,812.00,788.40,"2,000.00",798.00
55,FMDBL,666.00,10.00,1.52,669.10,680.00,656.00,"68,493.00",656.00
56,FOWAD,"1,200.00",40.00,3.45,"1,179.90","1,212.00","1,160.00","10,760.00","1,160.00"
57,GBBL,369.60,1.10,0.30,373.00,373.00,365.60,"25,974.00",368.50
58,GBILD86/87,981.00,-20.00,-2.00,981.00,981.00,981.00,25.00,"1,001.00"
59,GBIME,177.00,-1.00,-0.56,181.50,181.50,176.00,"39,770.00",178.00
60,GBIMEP,100.00,0.00,0.00,100.00,100.00,100.00,"53,170.00",100.00
61,GBLBS,804.60,19.80,2.52,800.40,820.00,785.00,"85,082.00",784.80
62,GCIL,480.00,2.10,0.44,477.60,483.50,471.20,"34,848.00",477.90
63,GFCL,466.40,6.40,1.39,458.00,467.10,456.00,"17,251.00",460.00
64,GHL,148.20,4.20,2.92,146.80,150.50,143.30,"77,887.00",144.00
65,GIBF1,8.32,-0.16,-1.89,8.32,8.39,8.23,900.00,8.48
66,GILB,"1,175.00",6.00,0.51,"1,145.70","1,230.00","1,145.70","46,122.00","1,169.00"
67,GLBSL,"2,377.00",177.00,8.05,"2,156.00","2,377.00","2,063.00","19,397.00","2,200.00"
68,GLH,210.00,10.00,5.00,200.00,210.00,200.00,"15,569.00",200.00
69,GMFBS,"1,234.00",63.90,5.46,"1,191.90","1,239.00","1,191.90","3,382.00","1,170.10"
70,GMFIL,399.00,-3.00,-0.75,403.00,405.00,395.00,"34,185.00",402.00
71,GRDBL,435.00,-6.00,-1.36,432.20,448.80,432.20,"15,002.00",441.00
72,GUFL,714.50,1.30,0.18,699.00,717.00,699.00,"35,815.00",713.20
73,GVL,452.00,18.00,4.15,433.50,453.00,433.50,"32,158.00",434.00
74,GWFD83,"1,210.00",-10.00,-0.82,"1,210.00","1,210.00","1,210.00",50.00,"1,220.00"
75,H8020,8.71,0.01,0.11,8.60,8.71,8.60,"1,300.00",8.70
76,HATHY,853.10,26.10,3.16,825.00,865.00,825.00,"25,837.00",827.00
77,HBL,180.00,-0.80,-0.44,181.00,182.50,176.10,"14,319.00",180.80
78,HBLD86,"1,060.00",20.70,1.99,"1,060.00","1,060.00","1,060.00",25.00,"1,039.30"
79,HDHPC,133.60,2.10,1.60,133.10,134.50,131.20,"81,367.00",131.50
80,HDL,"1,300.00",10.00,0.78,"1,299.90","1,300.00","1,285.00","27,064.00","1,290.00"
81,HEI,613.00,17.10,2.87,600.00,616.10,598.00,"40,264.00",595.90
82,HEIP,370.00,3.20,0.87,370.00,370.00,370.00,10.00,366.80
83,HHL,353.00,16.00,4.75,330.50,353.00,330.50,"20,149.00",337.00
84,HIDCL,166.00,2.00,1.22,162.00,166.50,162.00,"41,364.00",164.00
85,HIDCLP,100.10,0.40,0.40,100.00,100.40,98.60,"30,968.00",99.70
86,HLBSL,949.00,84.00,9.71,882.30,951.50,857.00,"67,484.00",865.00
87,HLI,397.00,12.20,3.17,383.00,398.00,383.00,"48,953.00",384.80
88,HPPL,262.90,8.90,3.50,249.00,263.00,249.00,"8,592.00",254.00
89,HRL,570.10,5.10,0.90,564.00,574.00,563.00,"59,209.00",565.00
90,HURJA,290.00,-14.10,-4.64,298.10,298.10,280.00,"79,562.00",304.10
91,ICFC,518.00,1.00,0.19,517.00,523.00,516.00,"18,918.00",517.00
92,ICFCD83,"1,213.00",8.00,0.66,"1,190.00","1,213.00","1,190.00",150.00,"1,205.00"
93,IGI,539.10,8.10,1.53,527.10,543.50,527.10,"30,692.00",531.00
94,IHL,391.90,13.90,3.68,370.50,394.00,370.50,"31,571.00",378.00
95,ILBS,"1,365.00",13.00,0.96,"1,379.00","1,406.50","1,354.00","16,069.00","1,352.00"
96,ILI,547.00,7.00,1.30,529.20,550.00,529.20,"30,195.00",540.00
97,JALPA,"1,401.30",86.30,6.56,"1,315.00","1,430.00","1,310.00","8,122.00","1,315.00"
98,JBBD87,"1,019.00",-1.00,-0.10,"1,015.00","1,019.00","1,015.00",65.00,"1,020.00"
99,JBBL,299.00,2.00,0.67,295.10,299.00,295.00,"53,712.00",297.00
100,JBBLPO,147.00,-3.00,-2.00,147.00,147.00,147.00,"360,592.00",150.00
101,JBLB,"1,380.00",73.00,5.59,"1,291.00","1,380.90","1,291.00","20,659.00","1,307.00"
102,JFL,512.70,2.70,0.53,500.00,520.00,500.00,"40,874.00",510.00
103,JOSHI,320.00,10.00,3.23,308.00,321.00,308.00,"46,638.00",310.00
104,JSLBB,"1,347.30",122.40,9.99,"1,239.00","1,347.30","1,239.00","14,050.00","1,224.90"
105,KBL,140.00,-0.40,-0.28,137.60,142.30,136.90,"110,121.00",140.40
106,KBLPO,106.00,0.00,0.00,106.00,106.00,106.00,862.00,106.00
107,KBSH,"1,050.00",30.00,2.94,"1,008.00","1,050.00","1,008.00","1,859.00","1,020.00"
108,KDBY,8.80,0.20,2.33,8.43,8.80,8.36,"5,200.00",8.60
109,KDL,825.00,12.00,1.48,828.90,829.00,814.00,"5,995.00",813.00
110,KEF,8.20,0.18,2.24,8.00,8.20,8.00,"30,975.00",8.02
111,KKHC,226.30,7.30,3.33,217.20,227.40,217.20,"10,504.00",219.00
112,KLBSL,920.00,12.00,1.32,900.00,958.00,883.00,"8,660.00",908.00
113,KMCDB,960.00,12.00,1.27,932.00,970.00,930.00,"8,746.00",948.00
114,KPCL,408.00,21.00,5.43,380.20,410.90,380.20,"6,098.00",387.00
115,KRBL,449.00,-6.00,-1.32,448.00,451.00,442.00,"37,773.00",455.00
116,KSBBL,377.40,-0.60,-0.16,377.10,381.00,376.00,"39,121.00",378.00
117,KSY,8.14,0.07,0.87,8.07,8.28,8.07,"2,800.00",8.07
118,LBBL,381.00,4.00,1.06,375.10,383.60,372.00,"24,439.00",377.00
119,LBBLD89,"1,112.90",7.20,0.65,"1,091.10","1,112.90","1,091.10",35.00,"1,105.70"
120,LBLD88,"1,000.00",10.90,1.10,"1,000.00","1,000.00","1,000.00",25.00,989.10
121,LEC,186.00,8.00,4.49,176.00,186.60,176.00,"64,382.00",178.00
122,LEMF,9.69,0.33,3.53,9.49,9.69,9.42,"294,985.00",9.36
123,LICN,"1,299.00",18.00,1.41,"1,262.00","1,300.00","1,262.00","2,294.00","1,281.00"
124,LLBS,"1,107.00",47.00,4.43,"1,060.00","1,114.00","1,050.00","28,127.00","1,060.00"
125,LSL,156.90,3.00,1.95,152.00,156.90,150.00,"110,289.00",153.90
126,LVF2,7.95,0.13,1.66,7.78,7.95,7.78,600.00,7.82
127,MAKAR,380.70,28.80,8.18,352.00,380.70,352.00,"21,417.00",351.90
128,MANDU,966.70,87.80,9.99,861.50,966.70,829.10,"49,970.00",878.90
129,MBJC,291.00,5.00,1.75,285.00,295.00,283.90,"20,348.00",286.00
130,MBL,170.80,-0.20,-0.12,173.00,173.00,167.60,"41,140.00",171.00
131,MBLD87,"1,000.00",17.80,1.81,992.00,"1,000.00",992.00,50.00,982.20
132,MCHL,379.00,15.00,4.12,371.20,383.80,362.60,"11,837.00",364.00
