S.No,Symbol,LTP,Point,Change,%,Change,Open,High,Low,Volume,Prev.,Close
1,ACLBSL,866.00,-30.00,-3.35,878.10,944.40,845.00,"47,974.00",896.00
2,ADBL,245.00,6.00,2.51,243.70,246.00,235.00,"51,018.00",239.00
3,AHL,435.90,-3.90,-0.89,431.30,444.00,427.00,"8,450.00",439.80
4,AHPC,158.00,2.10,1.35,158.20,160.00,156.10,"39,301.00",155.90
5,AKJCL,202.00,-2.40,-1.17,205.00,205.00,201.00,"25,440.00",204.40
6,AKPL,163.40,0.80,0.49,162.60,165.00,162.60,"30,761.00",162.60
7,ALBSL,865.00,49.00,6.00,810.00,865.00,810.00,"35,075.00",816.00
8,ALICL,568.00,5.00,0.89,555.00,574.90,555.00,"38,966.00",563.00
9,ANLB,"2,022.60",2.80,0.14,"2,000.00","2,022.60","1,980.40",417.00,"2,019.80"
10,API,171.00,3.00,1.79,171.30,172.90,168.00,"92,681.00",168.00
11,AVYAN,830.00,12.10,1.48,803.00,830.00,803.00,"15,471.00",817.90
12,BARUN,226.00,7.00,3.20,220.00,226.00,219.00,"11,054.00",219.00
13,BBC,"3,732.00",32.00,0.86,"3,631.00","3,732.00","3,631.00",265.00,"3,700.00"
14,BEDC,365.00,2.00,0.55,360.00,365.00,359.30,"5,638.00",363.00
15,BFC,391.00,-1.00,-0.26,386.30,398.70,386.30,"21,600.00",392.00
16,BGWT,592.00,4.90,0.83,595.00,595.00,583.10,"1,845.00",587.10
17,BHDC,477.90,-1.10,-0.23,469.80,480.00,469.80,"2,842.00",479.00
18,BHL,319.00,-0.70,-0.22,313.40,325.00,313.40,"2,495.00",319.70
19,BHPL,545.00,-3.00,-0.55,537.20,548.70,520.00,"5,362.00",548.00
20,BNHC,453.00,-1.00,-0.22,454.00,462.00,449.00,"2,507.00",454.00
21,BNL,"16,078.00",315.00,2.00,"15,800.00","16,078.00","15,800.00",52.00,"15,763.00"
22,BNT,"12,780.00",90.00,0.71,"12,655.00","12,780.00","12,451.00",240.00,"12,690.00"
23,BPCL,291.00,1.00,0.34,284.40,293.00,284.40,"7,971.00",290.00
24,C30MF,8.31,-0.19,-2.24,8.65,8.65,8.30,640.00,8.50
25,CBBL,819.30,-0.70,-0.09,820.00,825.00,818.00,"5,711.00",820.00
26,CBLD88,"1,028.00",-20.00,-1.91,"1,028.00","1,028.00","1,027.10",125.00,"1,048.00"
27,CFCL,393.30,-0.80,-0.20,390.60,398.00,390.60,"18,126.00",394.10
28,CGH,785.00,-9.50,-1.20,809.00,809.00,780.00,"5,038.00",794.50
29,CHCL,431.20,-0.80,-0.19,439.00,439.00,429.10,"27,240.00",432.00
30,CHDC,746.00,53.00,7.65,680.00,756.80,627.00,"424,897.00",693.00
31,CHL,310.90,-1.10,-0.35,308.50,315.00,307.00,"7,307.00",312.00
32,CIT,"2,098.00",24.00,1.16,"2,080.00","2,110.00","2,079.50","7,108.00","2,074.00"
33,CITY,606.10,-7.90,-1.29,609.90,615.90,600.00,"18,325.00",614.00
34,CIZBD90,"1,020.70",-14.60,-1.41,"1,020.70","1,020.70","1,020.70",25.00,"1,035.30"
35,CKHL,510.00,5.00,0.99,502.00,510.00,495.00,"15,683.00",505.00
36,CLI,455.20,4.70,1.04,459.00,464.00,454.00,"49,645.00",450.50
37,CMF1,9.12,0.13,1.45,8.99,9.30,8.99,"8,150.00",8.99
38,CMF2,7.68,-0.16,-2.04,7.84,7.84,7.65,"90,100.00",7.84
39,CORBL,473.90,-5.10,-1.06,488.00,489.60,470.00,"7,667.00",479.00
40,CYCL,"1,553.00",-93.00,-5.65,"1,613.10","1,613.10","1,500.00","9,535.00","1,646.00"
41,CZBIL,161.50,5.50,3.53,153.30,163.90,152.90,"233,850.00",156.00
42,DDBL,695.00,0.00,0.00,695.10,700.00,695.00,"5,412.00",695.00
43,DHPL,195.00,-3.00,-1.52,195.30,199.00,194.10,"12,833.00",198.00
44,DLBS,"1,179.00",21.00,1.81,"1,160.00","1,190.00","1,160.00","2,345.00","1,158.00"
45,DOLTI,416.00,-10.00,-2.35,422.10,430.00,414.00,"31,945.00",426.00
46,DORDI,399.00,1.00,0.25,393.00,400.00,393.00,"8,439.00",398.00
47,EBL,509.90,9.90,1.98,502.00,512.00,500.00,"29,128.00",500.00
48,EBLD85,"1,075.10",4.10,0.38,"1,068.00","1,075.10","1,068.00",175.00,"1,071.00"
49,EBLD86,967.90,-9.10,-0.93,967.90,967.90,967.90,30.00,977.00
50,EDBL,387.50,0.10,0.03,382.00,393.00,382.00,"22,074.00",387.40
51,EHPL,454.00,-8.00,-1.73,464.90,464.90,440.00,"2,860.00",462.00
52,ENL,798.00,9.00,1.14,804.70,804.70,784.10,"1,885.00",789.00
53,FMDBL,656.00,1.10,0.17,667.90,667.90,646.00,"47,170.00",654.90
54,FOWAD,"1,160.00",15.00,1.31,"1,167.90","1,167.90","1,135.00","3,810.00","1,145.00"
55,GBBD85,"1,040.00",54.30,5.51,978.10,"1,040.00",978.10,"50,368.00",985.70
56,GBBL,368.50,2.40,0.66,370.00,370.00,364.00,"21,160.00",366.10
57,GBIME,178.00,4.00,2.30,177.40,181.00,173.20,"92,897.00",174.00
58,GBLBS,784.80,11.80,1.53,765.00,785.00,758.00,"35,618.00",773.00
59,GCIL,477.90,-6.10,-1.26,474.40,482.90,471.00,"46,574.00",484.00
60,GFCL,460.00,-2.90,-0.63,463.20,469.00,459.60,"12,782.00",462.90
61,GHL,144.00,1.60,1.12,142.40,144.20,141.00,"29,183.00",142.40
62,GIBF1,8.48,-0.04,-0.47,8.35,8.48,8.11,"137,200.00",8.52
63,GILB,"1,169.00",46.00,4.10,"1,115.00","1,189.00","1,115.00","30,091.00","1,123.00"
